universite,baslik_no,deger,yil
Bursa Uludağ Üniversitesi,B.6,0,2021
Bursa Uludağ Üniversitesi,B.7,205,2021
Bursa Uludağ Üniversitesi,B.8,0,2021
Bursa Uludağ Üniversitesi,B.9,76,2021
Bursa Uludağ Üniversitesi,B.10,121,2021
Bursa Uludağ Üniversitesi,B.11,97,2021
Bursa Uludağ Üniversitesi,B.12.1,,2021
Bursa Uludağ Üniversitesi,B.12.2,,2021
Bursa Uludağ Üniversitesi,B.12.3,,2021
Bursa Uludağ Üniversitesi,B.12.4,,2021
Bursa Uludağ Üniversitesi,B.12.5,,2021
Bursa Uludağ Üniversitesi,B.12.6,,2021
Bursa Uludağ Üniversitesi,B.12.7,,2021
Bursa Uludağ Üniversitesi,B.12.8,,2021
Bursa Uludağ Üniversitesi,B.13,21,2021
Bursa Uludağ Üniversitesi,B.14.1,1,2021
Bursa Uludağ Üniversitesi,B.14.2,23000,2021
Bursa Uludağ Üniversitesi,B.15,0.068,2021
Bursa Uludağ Üniversitesi,B.16,-0.2609,2021
Bursa Uludağ Üniversitesi,B.17.1,0.039,2021
Bursa Uludağ Üniversitesi,B.17.2,0.1107,2021
Bursa Uludağ Üniversitesi,B.18.1,35,2021
Bursa Uludağ Üniversitesi,B.18.2,719511.1,2021
Bursa Uludağ Üniversitesi,B.19,0.00499,2021
Bursa Uludağ Üniversitesi,C.1.1,6,2021
Bursa Uludağ Üniversitesi,C.1.2,2,2021
Bursa Uludağ Üniversitesi,C.2,5417,2021
Bursa Uludağ Üniversitesi,C.3.1,3,2021
Bursa Uludağ Üniversitesi,C.3.2,0,2021
Bursa Uludağ Üniversitesi,C.4.1,52,2021
Bursa Uludağ Üniversitesi,C.4.2,160,2021
Bursa Uludağ Üniversitesi,C.5,15,2021
Bursa Uludağ Üniversitesi,C.6,25,2021
Bursa Uludağ Üniversitesi,D.1,1,2021
Bursa Uludağ Üniversitesi,D.2,6806,2021
Bursa Uludağ Üniversitesi,D.3,24,2021
Bursa Uludağ Üniversitesi,D.4,22,2021
Bursa Uludağ Üniversitesi,D.5.1,4,2021
Bursa Uludağ Üniversitesi,D.5.2,0,2021
Bursa Uludağ Üniversitesi,D.6.1,1,2021
Bursa Uludağ Üniversitesi,D.6.2,,2021
Bursa Uludağ Üniversitesi,D.7,3979025.97,2021
Bursa Uludağ Üniversitesi,D.8,7272,2021
Bursa Uludağ Üniversitesi,D.9,0.0429,2021
Gebze Teknik Üniversitesi,A.1,53,2021
Gebze Teknik Üniversitesi,A.2.1,1,2021
Gebze Teknik Üniversitesi,A.2.2,1,2021
Gebze Teknik Üniversitesi,A.3,6,2021
Gebze Teknik Üniversitesi,A.4.1,4,2021
Gebze Teknik Üniversitesi,A.4.2,2,2021
Gebze Teknik Üniversitesi,A.5,0,2021
Gebze Teknik Üniversitesi,A.6,1,2021
Gebze Teknik Üniversitesi,A.7,0.7846,2021
Gebze Teknik Üniversitesi,A.8,0.037,2021
Gebze Teknik Üniversitesi,A.9,0.025,2021
Gebze Teknik Üniversitesi,A.10,3,2021
Gebze Teknik Üniversitesi,A.11.1,2.64,2021
Gebze Teknik Üniversitesi,A.11.2,39.29,2021
Gebze Teknik Üniversitesi,B.1,0.112,2021
Gebze Teknik Üniversitesi,B.2,0.746,2021
Gebze Teknik Üniversitesi,B.3,140,2021
Gebze Teknik Üniversitesi,B.4,0.3676,2021
Gebze Teknik Üniversitesi,B.5.1,11,2021
Gebze Teknik Üniversitesi,B.5.2,5,2021
Gebze Teknik Üniversitesi,B.6,0,2021
Gebze Teknik Üniversitesi,B.7,91,2021
Gebze Teknik Üniversitesi,B.8,0,2021
Gebze Teknik Üniversitesi,B.9,73,2021
Gebze Teknik Üniversitesi,B.10,207,2021
Gebze Teknik Üniversitesi,B.11,87,2021
Gebze Teknik Üniversitesi,B.12.1,1001.0000001,2021
Gebze Teknik Üniversitesi,B.12.2,301.351,2021
Gebze Teknik Üniversitesi,B.12.3,12,2021
Gebze Teknik Üniversitesi,B.12.4,,2021
Gebze Teknik Üniversitesi,B.12.5,,2021
Gebze Teknik Üniversitesi,B.12.6,,2021
Gebze Teknik Üniversitesi,B.12.7,,2021
Gebze Teknik Üniversitesi,B.12.8,,2021
Gebze Teknik Üniversitesi,B.13,24,2021
Gebze Teknik Üniversitesi,B.14.1,0,2021
Gebze Teknik Üniversitesi,B.14.2,0,2021
Gebze Teknik Üniversitesi,B.15,0.0196,2021
Gebze Teknik Üniversitesi,B.16,,2021
Gebze Teknik Üniversitesi,B.17.1,0.078,2021
Gebze Teknik Üniversitesi,B.17.2,,2021
Gebze Teknik Üniversitesi,B.18.1,42,2021
Gebze Teknik Üniversitesi,B.18.2,5721331,2021
Gebze Teknik Üniversitesi,B.19,0.01176,2021
Gebze Teknik Üniversitesi,C.1.1,8,2021
Gebze Teknik Üniversitesi,C.1.2,0,2021
Gebze Teknik Üniversitesi,C.2,135,2021
Gebze Teknik Üniversitesi,C.3.1,0,2021
Gebze Teknik Üniversitesi,C.3.2,8,2021
Gebze Teknik Üniversitesi,C.4.1,1,2021
Gebze Teknik Üniversitesi,C.4.2,28,2021
Gebze Teknik Üniversitesi,C.5,4,2021
Gebze Teknik Üniversitesi,C.6,13,2021
Gebze Teknik Üniversitesi,D.1,0,2021
Gebze Teknik Üniversitesi,D.2,237,2021
Gebze Teknik Üniversitesi,D.3,0,2021
Gebze Teknik Üniversitesi,D.4,0,2021
Gebze Teknik Üniversitesi,D.5.1,0,2021
Gebze Teknik Üniversitesi,D.5.2,4,2021
Gebze Teknik Üniversitesi,D.6.1,0,2021
Gebze Teknik Üniversitesi,D.6.2,711,2021
Gebze Teknik Üniversitesi,D.7,32342262,2021
Gebze Teknik Üniversitesi,D.8,16315,2021
Gebze Teknik Üniversitesi,D.9,0.041,2021
Ege Üniversitesi,A.1,207,2021
Ege Üniversitesi,A.2.1,11,2021
Ege Üniversitesi,A.2.2,13,2021
Ege Üniversitesi,A.3,61,2021
Ege Üniversitesi,A.4.1,507,2021
Ege Üniversitesi,A.4.2,320,2021
Ege Üniversitesi,A.5,2468,2021
Ege Üniversitesi,A.6,1,2021
Ege Üniversitesi,A.7,1,2021
Ege Üniversitesi,A.8,1,2021
Ege Üniversitesi,A.9,0.4,2021
Ege Üniversitesi,A.10,23,2021
Ege Üniversitesi,A.11.1,4.4,2021
Ege Üniversitesi,A.11.2,71.47,2021
Ege Üniversitesi,B.1,0.192,2021
Ege Üniversitesi,B.2,0.524,2021
Ege Üniversitesi,B.3,422,2021
Ege Üniversitesi,B.4,0.5612,2021
Ege Üniversitesi,B.5.1,93,2021
Ege Üniversitesi,B.5.2,20,2021
Ege Üniversitesi,B.6,2,2021
Ege Üniversitesi,B.7,200,2021
Ege Üniversitesi,B.8,0,2021
Ege Üniversitesi,B.9,278,2021
Ege Üniversitesi,B.10,402,2021
Ege Üniversitesi,B.11,691,2021
Ege Üniversitesi,B.12.1,1001.0000001,2021
Ege Üniversitesi,B.12.2,401,2021
Ege Üniversitesi,B.12.3,12,2021
Ege Üniversitesi,B.12.4,,2021
Ege Üniversitesi,B.12.5,,2021
Ege Üniversitesi,B.12.6,,2021
Ege Üniversitesi,B.12.7,701.801,2021
Ege Üniversitesi,B.12.8,4,2021
Ege Üniversitesi,B.13,30,2021
Ege Üniversitesi,B.14.1,295501,2021
